Weeks,Uruguay,Argentina,Paraguay,Bolivia,Peru,Colombia,Venezuela,Guyana,Suriname
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,0
7,0,17,5,0,11,3,0,0,0
8,50,68,11,11,117,75,33,7,1
9,189,387,37,29,416,378,84,5,7
10,338,1054,69,107,1065,906,135,12,9
11,424,1628,119,194,2954,1780,165,33,10
12,492,2277,161,354,10303,2979,189,47,10
13,543,3031,213,598,17837,4149,285,66,10
14,625,4127,239,1053,31190,5949,329,74,10
15,670,5020,431,1802,51189,8613,361,93,10
16,717,6563,737,2964,72059,12272,423,113,10
17,738,8809,829,4481,99483,16935,749,125,11
18,789,13228,877,7136,129751,23003,1211,139,11
19,826,18319,1013,10991,178165,31833,1819,153,54
20,846,24761,1187,14644,203736,42078,2632,156,137
21,849,34159,1303,19883,237156,54931,3150,171,236
22,885,47203,1422,26389,260810,73572,4187,206,319
23,936,64530,2221,33219,285213,97846,5832,245,515
24,965,83426,2502,41545,309278,124494,7693,284,634
25,997,106910,3074,50867,333867,159898,10010,308,801
26,1096,136118,3817,62357,362087,211038,12774,339,1131
27,1218,173355,4674,72327,395005,267385,16571,396,1510
28,1300,213535,5852,83361,439890,334979,21438,497,1981
29,1385,260911,7519,93328,489680,410453,27938,602,2559
30,1485,305966,10606,103019,541493,489122,35697,737,3216
31,1536,359638,14228,110999,600438,562113,41158,1060,3698
32,1611,428239,18338,117267,652037,624026,47756,1373,4089
33,1712,500034,24214,122308,691575,679513,55563,1613,4419
34,1827,577338,29298,128286,733860,728590,62655,1958,4625
35,1934,652174,34828,131453,768895,777537,68453,2437,4759
36,2033,736609,40101,134641,808714,824042,74363,2846,4863
37,2177,824468,45647,137468,829999,869808,79796,3188,4965
38,2337,917035,51197,138922,853974,924098,84391,3565,5072
39,2623,1018999,56073,140037,870876,974139,87644,3796,5144
40,2916,1116609,60557,141124,890574,1033218,90400,4061,5187
41,3196,1195276,64628,141936,902503,1099392,93100,4245,5218
42,3620,1262476,68497,142664,923527,1155356,95445,4530,5245
43,4208,1329005,72857,143473,938268,1211128,98050,4890,5278
44,4870,1381795,77891,144147,950557,1262494,100498,5189,5300
